sample_id,chart_id,question,decision,reason,detail,semantic_plan
7995,495631622a65d1959824ae9ba7486afcf369b835ec533775feb3eb56388c0504,What percentage of the revenue in FY22 was derived from connecting rods?,reject,direct_data_value_or_numeric_annotation_present,,
7430,8102220c508d15f33e3a0b1e425eaa65e778634d2fd27b373f600cc6f7cfd986,What is the percentage of domestic brands in 2021?,reject,x_axis_labels_unreadable_or_grouped_bars,,
7917,2f84d1cd595bdac6956fadfd6d05692cfa6329a55b8c41c30fa30d976f54add7,What is the EBITDA margin expansion in December 2021?,reject,direct_data_value_or_numeric_annotation_present,,
10106,a58a43d9e36091af944facbce4bb878978822a2ab018233e3a14bf4afcce7c35,What is the value of Gas marketing EBIT in 2022?,reject,x_axis_labels_unreadable_or_grouped_bars,,
2451,2caca632464806aeecfb4d76668d4015811ee432c0234ec18a7ee4c45ed08b95,What was the collection efficiency for Q3FY22?,reject,bar_count_out_of_scope,,
2985,803a9f426e20091e51dc36885803ca7b2465127132a702f0cb98d14a01fe9474,What is the 4-year domestic revenue CAGR in Dec 2021?,reject,bar_count_out_of_scope,,
3993,a4e74ae1c571e199340688ce336223c6ac0f7d0f6419fcb47989736f7319815f,What was the approximate inventory value at 4Q21?,reject,bar_count_out_of_scope,,
4022,6570f885b6d198d15bcfc2af198c85f300cc74a0e9feddd20bf1e4e199a722c0,What was the gross margin in Jun-22?,reject,bar_count_out_of_scope,,
4261,15d0268fcacac07398fadde10c808bb56bb6f7bd981cb8fd8eaf0af2342fd509,What was the 4-year volume CAGR percentage in September 2021?,reject,bar_count_out_of_scope,,
4463,fec118edb23248df7f607841062536d0fa78edd9fa80557935b3eb3ecd793bfc,What is the approximate value of the P/E ratio at the beginning of January 2015?,reject,bar_count_out_of_scope,,
4691,a1b78d3197ea667cba924ac910c026c45608f23bffaf23272172e05045799e12,"In FY21, what was the percentage of funding from Banks for NBFCs?",reject,multiple_y_axes_or_panels,,
5956,75328ab3dc13325da5ad66de6b65527dbef6d77cb015c35691eecc75c547d7bb,What was the R&D per employee value in 2018?,reject,bar_count_out_of_scope,,
8411,af89c01bec689465fdefc6216ddda257a0fb081715c2d1d5826d134e3f4ee377,What is the revenue of LGU in 2023 as shown in the chart?,reject,bar_count_out_of_scope,,
9205,a1b78d3197ea667cba924ac910c026c45608f23bffaf23272172e05045799e12,Which of the following fiscal years had a percentage of funding from Others greater than 6%?,reject,multiple_y_axes_or_panels,,
2026,2df03ca835cf3c49832fe230e80cc3804da9c437af070e69ae05dbb2ba66e371,What was the percentage for OEM in FY21?,reject,direct_data_value_or_numeric_annotation_present,,
2182,1fbedcca24764b5cd8b4478d6c7273373a7cd3d69c52ca635a3a6d9944e0911e,What percentage of the 'Pulp & Power' segment is occupied by ANDRITZ?,reject,bar_count_out_of_scope,,
3617,5aeeaeb4bfcb3178dcf736093a5fdecce03453923b1b87c86d03bc0c47947570,What was the gross margin in Dec. 2021?,reject,bar_count_out_of_scope,,
4748,c8a47375bcb525c54340ed1b965bf9b9c81e94b54d8bf8999e5505bfc4c90d51,What is the approximate CoC % for the period of Jan 2020?,reject,bar_count_out_of_scope,,
6070,d4417c5f6d4ccecd3af15903754046910e6d830d13cf35e8e805edb6653e57f9,What was the gross profit growth percentage for FY17?,reject,direct_data_value_or_numeric_annotation_present,,
6593,aa290154de6fef6a16823719767821778d0a1204a5976e63cec36d3834767b61,What is the EBIT margin for International Beverages in December 2021?,reject,bar_count_out_of_scope,,
6657,a387be9d12b99ee9861d4ad84c3eb40ecf8614a79dee0e19d44b8c41494cbc05,What was the loan growth percentage in Q1FY24?,reject,bar_count_out_of_scope,,
9583,ea610810248a810863abf935d1f35da658a5b1b5a669cdb33850204dc05b806d,What was the EBITDA margin in Jun-22?,reject,bar_count_out_of_scope,,
10823,71a949a4086e87affbb5037b91ce6c2b401f23bdcdb81941cef0b0ac90582322,What was the approximate peak price of Spot LNG reached in 2022?,reject,bar_count_out_of_scope,,
3158,af67aee693727ab6c3b3d4f6a738c868874cec791eef3bdbeadfe590005d4e22,What is the highest closing price observed in the chart?,reject,bar_count_out_of_scope,,
3299,31bc4c786fd6bffee77b627b26be63226d28a63389ab478602a4a08a19a12152,What is the value of the Alkem EV/EBITDA 1 year forward on 1/24/2024?,reject,bar_count_out_of_scope,,
5475,af67aee693727ab6c3b3d4f6a738c868874cec791eef3bdbeadfe590005d4e22,What is the currency used in this chart?,reject,bar_count_out_of_scope,,
5575,d8acb3a7d062e305cf5749e61c9966b42cd26dbaaf76f29573be78fa92e39b1a,What is the highest value on the vertical axis of the chart?,reject,semantic_target_not_found,,"{""gold_access"": false, ""hidden_value_label_bbox_access"": false, ""label_matches"": [{""bar_id"": ""bar_00"", ""detected_full_label"": ""2022 No. of tourists"", ""label"": ""No. of tourists"", ""question_position"": -1, ""score"": 0.46153846153846156}, {""bar_id"": ""bar_01"", ""detected_full_label"": ""2023F"", ""label"": ""2023F"", ""question_position"": -1, ""score"": 0.2857142857142857}, {""bar_id"": ""bar_02"", ""detected_full_label"": ""2024F"", ""label"": ""2024F"", ""question_position"": -1, ""score"": 0.2857142857142857}], ""manual_target_coordinates_access"": false, ""operation"": ""direct"", ""question"": ""What is the highest value on the vertical axis of the chart?"", ""status"": ""semantic_target_not_found""}"
6851,f895e1fe8b320aaa767d834e0acd6520c769a580ed0be8309a37b42f88f9196c,What was the highest value observed for the refining margins in 2023?,reject,bar_count_out_of_scope,,
257,6b5adad9c066c801a1deb76108ce163ba2ba717366917b86e22fcbcb08bcb1b6,What was the approximate price of GGL CNG in February 2021?,reject,bar_count_out_of_scope,,
3347,ba084c976259acb96162757f5e208c1d1c1267159fed70e692b7d3793f7f7d36,What is the value of the USD-CAD REER at the end of 2023?,reject,bar_count_out_of_scope,,
5521,c8af9ac9371497c1d2c5461c0acb8e44d8fef97b8175e2fbde23a5d213770826,"What is the P/E value for Jan 13, 2013?",reject,bar_count_out_of_scope,,
6774,da0d122726e7da8e8491f1f6b91d0f5b96a9d921e652071ce0c4bb6ad44b18d5,What is the number of automotive customers in FY21?,reject,direct_data_value_or_numeric_annotation_present,,
9694,f33cebe0170bbfb3089442c22962a73af89fb7603954ac7d395d1719c1fc57cc,What is the value of the forward P/B ratio at the end of January 2024?,reject,bar_count_out_of_scope,,
10496,6d84b08d0eb7befeb059450dc73cd8c9abe67ae1c702ea86c9f829a8536ecd5d,What was the range per 1 kWh/kg in 2019?,reject,bar_count_out_of_scope,,
5466,a3658a926f147abfd2d04da35c6f54893c89886746075500a96a6acd546d4b88,In which year did the percentage of the population aged 0-14 years decline the most compared to the previous data point?,reject,direct_data_value_or_numeric_annotation_present,,
6154,61393ea1eef5bbdc1f2cdee751c151f14285cd401070aed32b9822178be49f3c,What is the most frequent spot value in the given distribution?,reject,x_axis_labels_unreadable_or_grouped_bars,,
11059,36121da8d9cf455d1566bd7caf9f1ab66a5030b57060a73b61271bdf5040a593,What is the propane price in 1QFY25 according to the chart?,reject,direct_data_value_or_numeric_annotation_present,,
755,38f15cf099ed9e93bb9b54371ac38627ff959e10a73ce518ca1951349e4ea32d,What was the repeat purchase rate in FY19 for Pop Mart as shown in the chart?,reject,multiple_y_axes_or_panels,,
8401,5adcc52d12a76950b0ef7a7e916430cc2266f803e3c1ea00b50d523b142a8626,What was the approximate sales value in BRL million for FY16?,reject,x_axis_labels_unreadable_or_grouped_bars,,
5364,6ccae4f4647c75374a53260bacde4db2e0b03b5b85d88c831d4e4b11d978ae6d,What was the percentage of EV in 2QFY23?,reject,direct_data_value_or_numeric_annotation_present,,
9171,044b8afca5fb07362f1dc62f8c8794176f11f3e8232fe0c0802af3ec414f08ce,What is the VNB margin percentage for SBI Life in Q3 FY23?,reject,direct_data_value_or_numeric_annotation_present,,
5034,8c757ab5463e2793283bdcd43ca8e711e60cc7b80c7bb5329d3d3f409fa27758,What was the number of jobs displaced in 2001?,reject,bar_count_out_of_scope,,
5688,e5a0d89e3c5968659bb315469a9fbf6971739d6b92586a07a9679bebfa7df785,"In FY19, which region had the highest percentage of loan disbursements?",reject,direct_data_value_or_numeric_annotation_present,,
7861,f9ff593a9e65302d901aaf42a2d755a9a9cd57e07c13dd088464c73b7d0b84b2,What was the approximate number of server units sold in 2019 according to the chart?,reject,multiple_y_axes_or_panels,,
1478,530442083b92c90210dbb70761a57343f066c7a0b127731a1fb52c2cffec3e0b,What was the value of Global NEV sales in 2011?,reject,x_axis_labels_unreadable_or_grouped_bars,,
10530,b0dc77435fc8218834d39d022090e680209067be9cf3ee2d4193b5baa8cb58d9,What is the DCF value change in 2021?,reject,bar_count_out_of_scope,,
11095,3172d0906eee21d08fb42fa8b9ff5d2effa6fa774cbd856951d4354923611279,How much more spare capacity does Saudi have compared to Kuwait in mb/d?,reject,semantic_target_not_found,,"{""gold_access"": false, ""hidden_value_label_bbox_access"": false, ""label_matches"": [{""bar_id"": ""bar_00"", ""detected_full_label"": ""Saudi Kuwait UAE Iraq"", ""label"": ""Kuwait"", ""question_position"": 47, ""score"": 1.0}, {""bar_id"": ""bar_02"", ""detected_full_label"": ""Iranl OPEC+ Libya"", ""label"": ""Iranl"", ""question_position"": -1, ""score"": 0.5714285714285714}, {""bar_id"": ""bar_03"", ""detected_full_label"": ""TOTAL Libya"", ""label"": ""TOTAL"", ""question_position"": -1, ""score"": 0.5714285714285714}, {""bar_id"": ""bar_01"", ""detected_full_label"": ""WAfrica Algeria   OPEC FSU etc;"", ""label"": ""FSU"", ""question_position"": -1, ""score"": 0.5}], ""manual_target_coordinates_access"": false, ""operation"": ""difference"", ""question"": ""How much more spare capacity does Saudi have compared to Kuwait in mb/d?"", ""status"": ""semantic_target_not_found""}"
5732,ce209cdc9cc0827f89bca983125d2bd70b3bcc92b6ec997e84a1e21295c3b878,What was the increase in revenue from FY21 to FY22 for online channels?,reject,direct_data_value_or_numeric_annotation_present,,
7477,a58a43d9e36091af944facbce4bb878978822a2ab018233e3a14bf4afcce7c35,What is the difference between EBIT in 2024F and EBIT in 2023?,reject,x_axis_labels_unreadable_or_grouped_bars,,
4096,9dee89a572be31c958420d783a8e1627ca63d6d165dde19546e46ccac8ac3d44,What is the difference in sales CAGR between the highest (AMRT) and the lowest (MLBI) in the chart?,reject,bar_count_out_of_scope,,
5100,83aa7f614c60dce753a4f4be142634809b6f072946315bc50411be12f3148598,What is the value difference between the service supplier category in 2021 and 2023?,reject,x_axis_labels_unreadable_or_grouped_bars,,
8847,a1b78d3197ea667cba924ac910c026c45608f23bffaf23272172e05045799e12,Calculate the net increase in percentage points for Banks' funding from FY19 to 2Q23.,reject,multiple_y_axes_or_panels,,
3378,a35c0cdb8e5cbd8b6c8a3642a18d666fdd5912876fd5eb0f6ce096cfa843d726,What is the difference in stock levels between Jan-20 and Jan-22?,reject,bar_count_out_of_scope,,
3319,ef9195245220314778c1883ae44c1a9610e2fa33d69d32ef209f87fd8c496cdb,Calculate the difference between the highest and lowest P/BV ratio during the period shown in the chart.,reject,bar_count_out_of_scope,,
4271,d6527f2e8dad46d9282e21c34d300bca4979bc8fd69b1fbc2ef5413206c1ad52,By what percentage did the number of transits decrease from November 2023 to February 2024?,reject,bar_count_out_of_scope,,
9346,d8acb3a7d062e305cf5749e61c9966b42cd26dbaaf76f29573be78fa92e39b1a,What is the approximate increase in the number of tourists from 2022 to 2024F?,accept,clean_natural_no_label_bar_and_supported_target,,
9545,fa6d80afd24b7bc048e1b7f22c5e111ce26b067549281c253321d26f9c65d9fb,What is the difference in Lupin's market share between 5-Jan-24 and 26-Jan-24?,reject,multiple_time_categories_assigned_to_one_bar,,
3580,d7645d612fab38cb6bf99a05d7dd340292d4cf139667d6d3511dc5f999a0d976,What is the difference between the highest and lowest P/E values in the chart?,reject,bar_count_out_of_scope,,
6233,a9fd3759bfc6785da3e30c0cc56cfd3b2186e4a47653377af15a215d71a2e5e3,What is the difference between the Forward PE Ratio on Feb-15 and Feb-17?,reject,bar_count_out_of_scope,,
7084,72f17ece26ed382fd9692688bfcd64bb0c1ea0b4a0477e203d09c012debe789f,What is the difference between the rolling PER value on Feb 9 and Feb 18?,reject,bar_count_out_of_scope,,
7526,0bfa62b72798def403d163fd4a78bab9272b46b3b6c326f8275ac1e534ac5375,What is the approximate difference in metric tons between the highest and lowest monthly imports?,reject,bar_count_out_of_scope,,
8251,ba084c976259acb96162757f5e208c1d1c1267159fed70e692b7d3793f7f7d36,What is the percentage difference between the current spot (1.3474) and the level 14.7% below the spot?,reject,bar_count_out_of_scope,,
10811,f7dff17af8dffdcc05dc45dd528bad9d48500da42b03ef3ec023dc87ca0efa15,Calculate the approximate market share increase from August 2021 to March 2022.,reject,bar_count_out_of_scope,,
1408,36121da8d9cf455d1566bd7caf9f1ab66a5030b57060a73b61271bdf5040a593,Calculate the difference between the propane price and GGL input cost in 4QFY24.,reject,direct_data_value_or_numeric_annotation_present,,
5643,61393ea1eef5bbdc1f2cdee751c151f14285cd401070aed32b9822178be49f3c,What is the difference in frequency between spot values 1.07 and 1.08?,reject,x_axis_labels_unreadable_or_grouped_bars,,
5448,38f15cf099ed9e93bb9b54371ac38627ff959e10a73ce518ca1951349e4ea32d,Calculate the percentage difference between the repeat purchase rate in FY19 and FY22.,reject,multiple_y_axes_or_panels,,
10565,ea9e0a306c0d710eaee791a4eb80128073de473efce727784a10c1f84836fd21,What is the approximate difference in EBITDA between 1QFY24 and 1QFY23?,reject,bar_count_out_of_scope,,
981,7aff953939c425ed3cc895109ebd9d4334616ac8fc8e4189a121c8a20e9df669,Which fiscal years forecast a steady or gradual increase in revenue per store?,reject,x_axis_labels_unreadable_or_grouped_bars,,
4627,674ffee4f5a1c4f25090660b40bc3f5f37161c96812ae712d5fbb3bfde2fc917,Which years did Alkem demonstrate a notable increase in growth compared to previous years?,reject,x_axis_labels_unreadable_or_grouped_bars,,
3010,38f15cf099ed9e93bb9b54371ac38627ff959e10a73ce518ca1951349e4ea32d,Which years showed the largest percentage difference between repeat purchase rate and top 10 players' share?,reject,multiple_y_axes_or_panels,,
417,9b1581bf72f70be8d68b92e9c9226411207f46ee6db10e14f3990c5f24adca12,Which country had the highest decrease in deposit rates from July 2022 to November 2023?,reject,bar_count_out_of_scope,,
777,1cb5aa66358f5851ea6d510c58e094f148201bc2985fec0e2951ff8b1d2b26cd,Which companies had a decrease in growth from FY20 to FY21?,reject,direct_data_value_or_numeric_annotation_present,,
1595,39ce5770bb7958dca2865ebe2a3537d0f4bd6d643df11396f194b1edfb5f171d,Which regions had a decrease in production capacity from 2015 to 2020?,reject,possible_marker_series_or_combination,"{""interior_circle_markers"": 4, ""interior_horizontal_markers"": 0}",
6667,8102220c508d15f33e3a0b1e425eaa65e778634d2fd27b373f600cc6f7cfd986,What is the percentage increase of domestic brands from 2021 to 2023?,reject,x_axis_labels_unreadable_or_grouped_bars,,
10486,528d6c0ae7ec17fc88e0ea0db8813f34abd4fd818c86207426b3a77547df3556,What is the percentage increase in order inflows from 2QCY20 to 4QCY23?,reject,bar_count_out_of_scope,,
1446,c977767f54fd3e583dfa1ecd26d5b15f4801ef7a1d8300c38cd43889990552ec,Calculate the approximate percentage change in chip sales growth from the lowest point in 2008 to the highest point in the following cycle.,reject,bar_count_out_of_scope,,
3028,31bc4c786fd6bffee77b627b26be63226d28a63389ab478602a4a08a19a12152,What is the percentage increase in Alkem's EV/EBITDA from 1/24/2020 to 1/24/2024?,reject,bar_count_out_of_scope,,
3442,af67aee693727ab6c3b3d4f6a738c868874cec791eef3bdbeadfe590005d4e22,What is the percentage change in the closing price from 2021/07/01 (around 5 MYR) to 2023/07/01 (around 7 MYR)?,reject,bar_count_out_of_scope,,
4491,af67aee693727ab6c3b3d4f6a738c868874cec791eef3bdbeadfe590005d4e22,"From 2022/07/01 to 2023/07/01, what was the approximate percentage decrease in closing price from 7.5 MYR to 4.5 MYR?",reject,bar_count_out_of_scope,,
10164,01bcf6a8031f667a23349635a02921c9d78fde424e087c8c3365deddc6f13467,What was the percentage increase in imports between Jan-23 and Jul-23?,reject,bar_count_out_of_scope,,
10624,8e42745a56119ddc62c44775a4db06fbdfa53a4ba62a93d49b0141ca6330fb2e,What was the difference in percentage change between '301' and 'Non-301' imports in January 2023?,reject,bar_count_out_of_scope,,
10926,61b1febc7cecf43c5c8f6e8aac4f832bf4d521a48e2861320bec480627d020ae,Calculate the percentage decrease in Spot LNG price from its peak in August 2022 to February 2023.,reject,bar_count_out_of_scope,,
5326,5adcc52d12a76950b0ef7a7e916430cc2266f803e3c1ea00b50d523b142a8626,Calculate the approximate percentage increase in sales from FY14 to FY15.,reject,x_axis_labels_unreadable_or_grouped_bars,,
8068,273800e8fe771e70edcb5c9afa806c93766a2bfbb4c5f6a8c3d7a19729132f68,During which fiscal years was IPM’s growth rate zero or less?,reject,x_axis_labels_unreadable_or_grouped_bars,,
8087,a387be9d12b99ee9861d4ad84c3eb40ecf8614a79dee0e19d44b8c41494cbc05,Which quarters experienced a deposit growth rate of exactly 10%?,reject,bar_count_out_of_scope,,
6986,6f0a5afb007caa375455e1b3b4056d2bd8b2a3886aa7f2bda73f0abbc123bcdf,What was the highest year-over-year percentage change for China SP shipment observed in the chart?,reject,bar_count_out_of_scope,,
4830,8e42745a56119ddc62c44775a4db06fbdfa53a4ba62a93d49b0141ca6330fb2e,What is the approximate percentage change of 'Non-301' imports in January 2023 compared to the 2017 baseline?,reject,bar_count_out_of_scope,,
