sample_id,chart_id,caption,question,decision,reason,operation,targets
10696,251f390ac4b0b2461915e04ea58ee2c790806a44867f59862726ace9a643731e,"Stock price, target price changes, and recommendation changes for Classys from July 2021 to February 2024.","Calculate the percentage change from the lowest closing price shown around January 2022 to the closing price on February 21, 2024.",reject,question_not_simple_point_reading,,
8342,2557a5faa51348fa0f8c4f625ecf09c98b1b83ca8e9e38907943bd96c7e8dfc1,"AfreecaTV closing price, target price, and recommendation changes as of 22-Feb-2024",Calculate the target price difference between 2022/01/01 and 2022/07/01.,reject,question_not_simple_point_reading,,
2590,263a8bc9a5dede540e38578b82f355d9473ba4ff15c5d0f8b4d160d018e05cd7,Figure 164: Distribution of China's EV Retail Sales by Vehicle Size,What was the approximate percentage increase in market share for vehicles priced ≥300k from April 2022 to February 2023?,reject,question_not_simple_point_reading,,
10634,27d9a2cf315c8bb33b5f92b00071e61dff4949e8d13f5858f6f6bbf021b993fa,Historical Price Chart for ASM Pacific Technology as of 27-Feb-2024,What is the total price change from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
4763,27e72fd9d38760dbb9f8cc069f4c70a3f1dc80b7254e96ae0141523330b5a358,P/E band from Jan-16 to Jan-24,What was the PE value in July 2020?,reject,reference_band_not_simple_single_line,,
10534,27e72fd9d38760dbb9f8cc069f4c70a3f1dc80b7254e96ae0141523330b5a358,P/E band from Jan-16 to Jan-24,What was the PE value in July 2022?,reject,reference_band_not_simple_single_line,,
1725,27f5f680f5b1b8b44f544fc143d1656c7a6277a11c876641365f873bdf938d7a,PICC P&C stock performance with target price and recommendation changes,What is the approximate increase in the closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
1115,2a7cd9a5afe9a7b78584d4e9957a5d04692d52565db748eca01f2cf0e54a6e6d,"Historical performance chart for JD Health's closing price, target price changes, and recommendation changes.",Calculate the average closing price from July 2021 to January 2023 based on the chart.,reject,question_not_simple_point_reading,,
8493,2b6e12727984364e64bba1bbae5302f0bca5ab68a30615b9b451aea975b27cb4,PE Ratio over Time with Average and Standard Deviation Bands,Calculate the average PE ratio over the period from February 2017 to February 2023.,reject,question_not_simple_point_reading,,
10764,2e21f8411e23132765ab9d1011c31551834b8d0f363729dd9aa8391bf1835ff2,"Trip.com Stock Prices, Target Price Changes, and Recommendation Changes (13-Mar-2024)",What is the total price increase of Trip.com from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
4152,2e28ea4c77a8caeffc969dac1ec8e1c4a9975814fc630eac734c04cc1a6e3add,"Closing price, target price changes, and recommendation changes of Genting Bhd from 2021 to 2024.",What was the stock price change between 2021/07/01 and 2023/01/01?,reject,question_not_simple_point_reading,,
11028,2fc8454c1fe540146b255f7a68c55a2dea2c4b95abc55d7b72ead7eb587de192,Fig. 38: Sector-wise consumption of gas,Calculate the increase in total gas consumption from August 2022 to November 2022.,reject,question_not_simple_point_reading,,
7383,3035c0ebaf1987fb1eb606be1f307f5970c9d9109f9dea52bf4fc7b205de4eaa,"Closing Price, Target Price Change, and Recommendation Changes for iQIYI Inc. (As of 27-Feb-2024, Currency = USD)",What was the percentage change in closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
9209,3035c0ebaf1987fb1eb606be1f307f5970c9d9109f9dea52bf4fc7b205de4eaa,"Closing Price, Target Price Change, and Recommendation Changes for iQIYI Inc. (As of 27-Feb-2024, Currency = USD)",What was the closing price of iQIYI Inc. on 2024/01/01?,reject,question_not_simple_point_reading,,
6993,3080264238e3930456116440297b994711b065536c54d3d478f41bc4093769d5,"Singapore Technologies Engineering: Price, Target Price Changes, and Recommendations Over Time",Calculate the difference in the closing price between 2021/07/01 and 2024/01/01.,reject,question_not_simple_point_reading,,
4180,3086233958a661621f6d91aa1344fa9aba6851e381b20b2951eb0bffe2f1f10c,Stock rating and target price evolution of TIME dotCom Bhd (TDC MK) as of 29-Feb-2024,By how much did the closing price increase from 2021 to 2024?,accept,exploratory_annotated,difference,2021 | 2024
10098,31119186ce1d1b31ab14472b453587b9fbde530a66d1a0f70f259db195feb94f,"Closing price, target price changes, and recommendation changes for LiAuto Inc. over a three-year period.",What is the average closing price for LiAuto Inc. between 2022/01/01 and 2023/01/01?,reject,question_not_simple_point_reading,,
10659,316ad42648b9f4c2afb82e57f6679e9c7bcd6ed52cf60a8ed465a48fbe6c56a4,"Figure 34: Comparison of United Rentals and Ashtead Group Share Price Performance, Rebased to 100",What is the approximate share price of United Rentals in early 2024 (based on the chart)?,reject,target_is_interval_or_boundary_not_point,,
1573,316baa2b9f8230f51f337a448e8560f617c37db925897fd067d41f1203d446d3,Malaysia - CPO monthly production,What is the average production level in the first quarter of 2023?,reject,question_not_simple_point_reading,,
7764,316baa2b9f8230f51f337a448e8560f617c37db925897fd067d41f1203d446d3,Malaysia - CPO monthly production,What is the difference in CPO production between Jul-23 and Jan-24?,reject,possible_bar_or_bar_line_combination,,
2724,31d567ef592511119f4873cba0d38083185eff51af65331154244078cc03e581,"As of 20-Feb-2024, relevant data for The Ramco Cement.",What is the average closing price from July 2021 to January 2024?,reject,question_not_simple_point_reading,,
8826,33d24d5084163a71d96f8a8a041e7490b618ee77ed4f8895a8b0d2303e16077b,RoW sales (INR mn) across different financial years,What is the total sales of ROW (Cenexi) in FY23 (sum of all four quarters)?,reject,question_not_simple_point_reading,,
7166,35177d72213c11522774d7596c4ea59583714d4eb6dea6f9c1c7d0b8ec0b6b6a,Hyundai Motor 3-Year Rating and Target Price Chart,"Using the chart, estimate the average closing price in the year 2022.",reject,question_not_simple_point_reading,,
7139,37cc988cc47f0db4ce9842eab5382b77d23182cda6bd8beb83f8251191e69a3e,"Change in wealth inequality, measured by Gini Index, 2000 to 2022 (%), by country",What is the total increase in Gini Index for all the countries with a positive change greater than 2%?,reject,question_not_simple_point_reading,,
6888,392c236644ef50cd248d2917ce6f2866af9da8b5a97c2607d14591ae8ac1daba,JD Logistics Closing Price and Target Price Changes from July 2021 to March 2024,Estimate the average annual decline in closing price from mid-2021 to March 2024.,reject,question_not_simple_point_reading,,
2068,39ce5770bb7958dca2865ebe2a3537d0f4bd6d643df11396f194b1edfb5f171d,Fig. 7: BH production capacity's regional breakdown (DS km2/month),What was the total production capacity in 2023 (in DS km2/month)?,reject,question_not_simple_point_reading,,
3475,3a7b55d7becb394604d1e413b02ef12397c9655734855a74cff8dc82fae41e6e,Figure 11: Year-over-year percentage growth comparison between Ipca and IPM from FY16 to CY23,Find the average of IPM's year-over-year percentage growth from FY16 to CY23.,reject,question_not_simple_point_reading,,
8655,3c01d5fbf77f50943b834703ab82be8c2a1da8fca5479e6985ba58d7d97f174a,"China Vanke - A stock performance with closing prices, target price changes, and recommendation changes (2021-2024)",What is the average closing price of the stock for 2023?,reject,question_not_simple_point_reading,,
7684,3c77f2e027cf0cf269980aa2606127ac12a1e94a544877adb87f266845b19c64,"Figure showing the closing price, target price changes, and recommendation changes of China Life Insurance from July 2021 to February 2024.",What was the approximate change in the closing price from 2022/01/01 to 2023/01/01?,reject,question_not_simple_point_reading,,
7252,3c9c6a7ed3a58b57d74a892d48bf232b872081f4351e7b7b7c5f11308be1a858,"Central Pattana stock performance and target price changes over three years; for explanation of ratings, refer to the stock rating keys located after chart(s).",What is the approximate difference in closing price between 2021/07/01 and 2024/01/01?,reject,question_not_simple_point_reading,,
9390,3c9c6a7ed3a58b57d74a892d48bf232b872081f4351e7b7b7c5f11308be1a858,"Central Pattana stock performance and target price changes over three years; for explanation of ratings, refer to the stock rating keys located after chart(s).",What is the approximate difference in closing price between 2021/07/01 and 2024/01/01?,reject,question_not_simple_point_reading,,
4234,3d6626b58e3575a1d5e250ef00a7482012340a4db2ac2b5461b485f5cc5eeb0e,"Wuxi AppTec: Closing Price, Target Price Change, and Recommendation Changes as of 18-Mar-2024",What is the difference in closing price of Wuxi AppTec between 2021/07 and 2024/01?,reject,question_not_simple_point_reading,,
10398,3d6626b58e3575a1d5e250ef00a7482012340a4db2ac2b5461b485f5cc5eeb0e,"Wuxi AppTec: Closing Price, Target Price Change, and Recommendation Changes as of 18-Mar-2024",Calculate the total number of recommendation changes from 2021/07 to 2024/01.,reject,question_not_simple_point_reading,,
10425,3d6626b58e3575a1d5e250ef00a7482012340a4db2ac2b5461b485f5cc5eeb0e,"Wuxi AppTec: Closing Price, Target Price Change, and Recommendation Changes as of 18-Mar-2024",What is the percentage drop in stock price from the highest point (2022/01/01) to the lowest point (2023/07/01)?,reject,question_not_simple_point_reading,,
8367,3e83e32bbc91c7d8578742ef13a4ad279c44e5798d487525a1457b1acbc50d78,Three-year historical ratings and target prices for Singapore Airlines as of 25-Jan-2024,What is the change in closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
7228,3ee53b7f73c73023db1c46795723f1637fb5d65df9a20c29b20e04656c46e2dd,LG Innotek stock closing and target price changes over time with recommendation changes.,What was the percentage change in LG Innotek's stock price from 01-Jan-2023 to 01-Mar-2023?,reject,question_not_simple_point_reading,,
2276,3f0a9edc3c11e4376edf8565c427f865d6d445112651f2965c3944ff2d528634,"E-MART closing price, target price change, and recommendation changes over time",Calculate the approximate percentage drop in closing price from July 2021 to July 2022.,reject,question_not_simple_point_reading,,
4595,3f6a956ae506f7dd6d3bb5dd91467bc3cc66171333f2c1bd27da9f9fe7965f3a,JD.com's Closing Price and Target Price Change Chart from June 2021 to March 2024,What is the approximate difference between the highest and lowest closing prices of JD.com in USD?,reject,question_not_simple_point_reading,,
8336,431875768315bb2d2aad965758acb66452e3390f1421c4a513399f3853b13847,JD Health stock performance and target price changes over a three-year period.,What is the percentage change in stock price from January 2023 to January 2024?,accept,exploratory_annotated,growth_rate,January2023 | January2024
6517,44f1ce670942e9c5acbe8c334d6fbf641b758ae3ab0829ac66c74f11e339fee0,Axis Bank stock performance with target price changes (2021-2024),What is the approximate percentage change in the closing price of Axis Bank stock from July 2021 to January 2024?,accept,exploratory_annotated,growth_rate,July2021 | January2024
8529,464391b618b4e6e29b439d7c8a52e0982b3a25ea1024cafbd221fec22f9217c8,Kuala Lumpur Kepong (KLK MK) three-year rating and target price chart,By how much did the stock price increase from January 2023 to February 2024?,accept,exploratory_annotated,difference,January2023 | February2024
9985,47d25af7d37b70173ae61f70cb2de1fa7698c3a799afc29100ea7cfa5be4eb52,Ultratech Cement stock performance and recommendations over time,What is the total increase in the closing price of Ultratech Cement from July 2021 to January 2024?,reject,question_not_simple_point_reading,,
4532,4ab53804eec8dfae4494db3ded5287f0c47e92ef5a4205fa1fd48db1e3b0e81f,"Illustration of BYD's three-year price, target, and recommendation history in HKD, updated as of 29-Feb-2024.","Assuming the closing price follows the same trend as 2023, predict BYD's closing price at the end of 2024.",reject,question_not_simple_point_reading,,
2385,4e13a092023c40e505e7342df42b2a621a0096c3f024a63939fde3282cca018d,Figure 22: Trend of PVC spreads to Naphtha over Time,Calculate the percentage decline in PVC spreads from the highest peak to July 2023 value.,reject,question_not_simple_point_reading,,
8019,4eae38d309d8d0ebf2d6d3aa34de314cecb392410231a46e1fadc4c215b592cd,"After multiple expansion, estimate revisions are ahead. Micron remains below the historical 30% premium vs Hynix on P/TBV","In March 2015, what was the approximate P/TBV ratio difference between Micron and SK Hynix?",reject,question_not_simple_point_reading,,
3864,4f95cde90759a129a37dec9b9c972927e8b0bb2647b3dbb2e35b24df0aed7ece,Fig. 20: CIMB – net credit charge over time (bps) (ann),What is the net credit charge value in 1Q19?,accept,primary_clean,direct,1Q19
8897,50df7113a109acb3478ae9dbd2387bc4c3281e897ba0bf4887ce157b39ff1456,Apollo Tyres stock performance and ratings over time as of 08-Feb-2024.,What is the percentage increase in the stock price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
1771,51bcf3a852382d7f56de31b4e9afcf05f0a570f3a4865e861ba5620cea60c255,Price chart and target price changes for Ping An from 2021 to 2024,What is the total change in the closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
2438,51bcf3a852382d7f56de31b4e9afcf05f0a570f3a4865e861ba5620cea60c255,Price chart and target price changes for Ping An from 2021 to 2024,What was the closing price on 2022/01/01?,reject,question_not_simple_point_reading,,
5519,51bcf3a852382d7f56de31b4e9afcf05f0a570f3a4865e861ba5620cea60c255,Price chart and target price changes for Ping An from 2021 to 2024,What was the closing price difference between 2023/07/01 and 2024/01/01?,reject,question_not_simple_point_reading,,
8458,53c33c4ef717f1c74b190bcb01c4d126c2da1219c60975b4a69806ee0acabeba,USDMXN 3-month 20.60 call volatility around the 2016 US election,What is the difference in volatility percentage between 1-Nov-2016 and 1-Dec-2016?,reject,question_not_simple_point_reading,,
10212,55be9d52a1c462fba2fef74f63763e32ee1a2b526ee2968b71058e730997aa00,"Crompton Greaves Consumer Electrical Closing Price, Target Price, and Recommendation Changes as of 15-Feb-2024 (Currency = INR). Refer to stock rating keys for explanation.",By how much did the closing price drop from its peak in mid-2022 to its lowest point in early 2023?,reject,question_not_simple_point_reading,,
5787,55d6069dc3ab5c7e8b4a6a0e46b5df1f8599918a79670bc6b563bb8bf973f047,Fig. 3: Average all-India prices have so far moderated by INR6/bag m-m in March,Calculate the approximate average price change between March 2023 and March 2024.,reject,question_not_simple_point_reading,,
7340,56e068123ddfa112867bb43e853704b3480e2a8242eb9311da310089998985ed,"Closing price, target price change, and recommendation changes for Dabur India from 2021 to 2024.",What is the change in closing price of Dabur India from January 2022 to February 2024?,reject,question_not_simple_point_reading,,
3098,574d54e8f376d65508c359c3519721b1fece4ddbd4de32f5831e7dd79e41ba15,Firstsource Solutions stock performance (2021-2024),Calculate the percentage increase in stock price from January 2022 to July 2023.,accept,exploratory_annotated,growth_rate,January2022 | July2023
8979,57e1caa490a7d27ec453016aabebd246f62b1faee04f3db5886b76356a1f49ce,Rating and target price chart for Lenovo Group (three-year history),Calculate the P/E multiple used for the target price if the EPS is USD 0.13 and the target price is HKD 10.,reject,question_not_simple_point_reading,,
5558,5848d5ef194f15c3cc5e940afd6670769627daef339d255d9237db2c19845096,Sweet-Sour oil price differential (USD/bbl) over time,Calculate the average sweet-sour differential for FY24 based on the quarterly values provided in the context.,reject,question_not_simple_point_reading,,
5334,58cf15eab5452dbcd0676c7b2c6019800d5b32ebdc40d21e811027b542a6a5cb,"Genius Electronic Optical - Closing Price, Target Price Changes and Recommendation Changes as of 13-Mar-2024",What was the closing price of Genius Electronic Optical on 2022/01/01?,reject,question_not_simple_point_reading,,
9621,58cf15eab5452dbcd0676c7b2c6019800d5b32ebdc40d21e811027b542a6a5cb,"Genius Electronic Optical - Closing Price, Target Price Changes and Recommendation Changes as of 13-Mar-2024",What was the total change in closing price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
8200,5977a2dbb0a9d550a926265dd58a427fc9b1772483607dd70e9e1d6f6e6a3d6b,FinVolution Group stock performance and target price changes over time,What is the percentage change in stock price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
3388,59f5759a9eb2efab86f5c7b82a0d93f05956255fd3d4e1ab38c25d3437631ca7,"RHB Bank stock price and target price changes over three years, with recommendation changes indicated.",What is the average closing price of RHB Bank stock between 2021/07/01 and 2023/07/01?,reject,question_not_simple_point_reading,,
6506,5a7aece230e268003e64a8819fb5124c45afac27c151148fd2aeb162692f5421,TUC (6274 TT) Stock Performance Chart as of 06-Mar-2024,What is the percentage price increase from the lowest point in 2022 to the closing price on 06-Mar-2024?,reject,question_not_simple_point_reading,,
5326,5adcc52d12a76950b0ef7a7e916430cc2266f803e3c1ea00b50d523b142a8626,Fig. 9: Historical and Forecasted Brazil Sales (BRL mn),Calculate the approximate percentage increase in sales from FY14 to FY15.,reject,possible_bar_or_bar_line_combination,,
8632,5b2dfcd634bc5d9033ec41afd573f8b79c51b98a7d9a436ec6976bf7c818e932,Historical stock performance chart of LiAuto Inc. with target price changes and recommendation changes.,Calculate the price difference between the highest and lowest closing prices observed in the chart.,reject,question_not_simple_point_reading,,
5947,5da3d4ae54bec9a0178f35984a5c550507092de8182ddbfce8faeb0165c7e74e,Stock performance of Glenmark Pharmaceuticals as of 18-Feb-2024,What is the percentage increase in stock price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
9025,5da3d4ae54bec9a0178f35984a5c550507092de8182ddbfce8faeb0165c7e74e,Stock performance of Glenmark Pharmaceuticals as of 18-Feb-2024,What was the closing price on 2022/01/01?,reject,question_not_simple_point_reading,,
10263,5ffd2cb188ffa9aedaf2bc37b268098f938e343d492575601367ef55acc10274,Lupin's 3-year historical closing price with target price and recommendation changes as of 22-Feb-2024 (Currency = INR),Estimate the number of days between the first and last target price change events on the chart.,reject,question_not_simple_point_reading,,
10767,5ffddb0231cfb9a3f5943c1ded90644660e3040c2d0f7543588926fc7c508db2,"Closing price, target price change, and recommendation changes for Havells India as of 24 Jan 2024",What was the approximate price difference between the closing price in 2021/07/01 and the closing price in 2023/07/01?,reject,question_not_simple_point_reading,,
2790,6201895fa63eceac0564065294e712a1645ccd35bfb1040cabb44fab7e771534,Genting Singapore stock performance with target price and recommendation changes,What was the stock price change from 2022/01/01 to 2023/01/01?,reject,question_not_simple_point_reading,,
9042,634a23dbbbc79aa8a5ea237361528925beae22a9e6294cc8bd1287e5e1c5a201,"China Tower stock price, target price, and recommendation changes over three years as of 18-Mar-2024",What was the target price change on 2022/01/01?,reject,question_not_simple_point_reading,,
9007,6396dbb646b4e53512a9fbb158f53ad93af8ef499fbfabcbeee32dd30366def1,PBK – Non-interest income as a percentage of operating income,What was the approximate difference in the percentage of non-interest income between 1Q20 and 3Q21?,accept,primary_clean,difference,1Q20 | 3Q21
9894,65b0cb5134ef4477b2fe719b76e47f4fa0ea68042c74f65f3bfabfc526da85e2,"Kansai Nerolac Paints Stock Performance as of February 6, 2024",What was the approximate percentage drop in closing price from July 2021 to July 2022?,reject,question_not_simple_point_reading,,
1473,66a7deaa58470e34f94bbf174c155ac77f3fc9e81d850dcb333e325abdb3911e,Three-year historical ratings and target price changes for Wuxi Apptec,What was the approximate closing price of Wuxi Apptec on 2022/01/01?,reject,question_not_simple_point_reading,,
5598,69a4c758abac1a8bc743b1780d4ee3ec6cd03de3278b8ccc240b77604572c806,Cowell e Holdings Stock Performance and Rating Changes Over Time,What is the total increase in stock price from 2021/07/01 to 2024/01/01?,reject,question_not_simple_point_reading,,
5626,69a4c758abac1a8bc743b1780d4ee3ec6cd03de3278b8ccc240b77604572c806,Cowell e Holdings Stock Performance and Rating Changes Over Time,What was the difference in closing price between 2021/07/01 and 2022/01/01?,reject,question_not_simple_point_reading,,
