sample_id,chart_id,chart_kind,question_type,operation,question,status,failure_stage,semantic_targets,detected_x_labels,selected_targets,y_axis_ticks,geometry_values,numeric_answer,reasoning,geometry_prediction,gold,tolerance,geometry_correct,raw_vlm_correct,fallback_correct
1286,dd4651477ec88bfa5719a1768e4e46448979d3084ce013b6c345644bf0c4d053,line,numerical,direct,What was the PMI value for the US manufacturing sector in July 2020?,success,,"[""July2020""]",[null],"[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 20, ""median_residual"": 5.684341886080802e-14, ""side"": ""all"", ""slope"": 1.3833795803553168e-15, ""target_y"": 498.99999999999994, ""x_max"": 824.0, ""x_min"": 805.0}, {""inlier_count"": 10, ""median_residual"": 5.684341886080802e-14, ""side"": ""left"", ""slope"": -1.4362833628322507e-14, ""target_y"": 498.9999999999999, ""x_max"": 814.0, ""x_min"": 805.0}, {""inlier_count"": 10, ""median_residual"": 1.1368683772161603e-13, ""side"": ""right"", ""slope"": -9.530089455378054e-15, ""target_y"": 499.00000000000017, ""x_max"": 824.0, ""x_min"": 815.0}], ""local_columns"": 20, ""local_fit_residual_pixels"": 5.684341886080802e-14, ""method"": ""auto_x_local_line_fit"", ""point"": [814.2666666666701, 499.0], ""score"": 0.9999999999999432, ""search_window"": [805.0, 824.0], ""target_x"": 814.2666666666701, ""target_y"": 499.0, ""window_half_width"": 9.0}]","[{""bbox"": [25.0, 28.0, 88.0, 61.0], ""confidence"": 0.9999543647922537, ""pixel_y"": 44.5, ""text"": ""65.0"", ""value"": 65.0}, {""bbox"": [25.0, 92.0, 88.0, 125.0], ""confidence"": 0.9999784231185913, ""pixel_y"": 108.5, ""text"": ""60.0"", ""value"": 60.0}, {""bbox"": [25.0, 158.0, 88.0, 190.0], ""confidence"": 0.9992874264717102, ""pixel_y"": 174.0, ""text"": ""55.0"", ""value"": 55.0}, {""bbox"": [24.0, 221.0, 89.0, 257.0], ""confidence"": 0.9999649524688721, ""pixel_y"": 239.0, ""text"": ""50.0"", ""value"": 50.0}, {""bbox"": [25.0, 287.0, 88.0, 320.0], ""confidence"": 0.9999842047691345, ""pixel_y"": 303.5, ""text"": ""45.0"", ""value"": 45.0}, {""bbox"": [24.0, 350.0, 89.0, 387.0], ""confidence"": 0.8466613861225277, ""pixel_y"": 368.5, ""text"": ""40.0"", ""value"": 40.0}, {""bbox"": [25.0, 417.0, 88.0, 450.0], ""confidence"": 0.6811106034764776, ""pixel_y"": 433.5, ""text"": ""35.0"", ""value"": 35.0}, {""bbox"": [24.0, 480.0, 89.0, 516.0], ""confidence"": 0.9999924898147583, ""pixel_y"": 498.0, ""text"": ""30.0"", ""value"": 30.0}]",[29.93580390935113],29.93580390935113,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 29.93580390935113}",29.93580390935113,60,5.0,0,0,0
1304,d40d94eb0a16ea6d928ed27e76d7848104a1c3bbe43bd3cce2ca4f981d632ade,line,single_choice,direct,What was the rapeseed oil price in January 2020?,success,,"[""January2020""]","[""Jan-20""]","[{""both_sides"": 0, ""chart_type"": ""line"", ""fit_mode"": ""global_robust"", ""fitted_segments"": [{""inlier_count"": 32, ""median_residual"": 1.0074696363909084, ""side"": ""all"", ""slope"": 0.009127439114581928, ""target_y"": 346.4879666440518, ""x_max"": 152.0, ""x_min"": 100.0}], ""local_columns"": 53, ""local_fit_residual_pixels"": 1.0074696363909084, ""method"": ""auto_x_local_line_fit"", ""point"": [99.5, 346.4879666440518], ""score"": 0.49813953938443184, ""search_window"": [92.0, 152.0], ""target_x"": 99.5, ""target_y"": 346.4879666440518, ""window_half_width"": 52.32}]","[{""bbox"": [0.0, 50.0, 80.0, 88.0], ""confidence"": 0.9998783944210222, ""pixel_y"": 69.0, ""text"": ""2,500"", ""value"": 2500.0}, {""bbox"": [0.0, 137.0, 78.0, 175.0], ""confidence"": 0.9989638709227503, ""pixel_y"": 156.0, ""text"": ""2,000"", ""value"": 2000.0}, {""bbox"": [0.0, 225.0, 78.0, 262.0], ""confidence"": 0.9998759953455705, ""pixel_y"": 243.5, ""text"": ""1,500"", ""value"": 1500.0}, {""bbox"": [0.0, 312.0, 78.0, 348.0], ""confidence"": 0.9993966464381847, ""pixel_y"": 330.0, ""text"": ""1,000"", ""value"": 1000.0}, {""bbox"": [23.0, 401.0, 78.0, 432.0], ""confidence"": 0.9184571989039579, ""pixel_y"": 416.5, ""text"": ""500"", ""value"": 500.0}, {""bbox"": [55.0, 493.0, 73.0, 514.0], ""confidence"": 0.9999846220607687, ""pixel_y"": 503.5, ""text"": ""0"", ""value"": 0.0}]",[904.2527827674712],904.2527827674712,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 904.2527827674712, ""option_values"": [[""A"", 500.0, ""Around 500 US$/MT""], [""B"", 1000.0, ""Around 1,000 US$/MT""], [""C"", 1500.0, ""Around 1,500 US$/MT""], [""D"", 2000.0, ""Around 2,000 US$/MT""]], ""selected_option"": ""B""}",B,B,,1,1,1
1312,b5093a4785b35eb531e4c959d524ced620523a841ff141634bd511b11d25dcf8,bar,single_choice,difference,Which of the following months saw a decrease in NCM/NCA's market share?,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,A,,0,0,0
1408,36121da8d9cf455d1566bd7caf9f1ab66a5030b57060a73b61271bdf5040a593,bar,numerical,difference,Calculate the difference between the propane price and GGL input cost in 4QFY24.,direct_data_value_or_numeric_annotation_present,bar_chart_analysis,[],[],[],[],[],,{},,0.5,0.10000000149011612,0,0,0
1489,b2dd2d5ff9d368ccd1b754fc764ada9d1702da6b48f0418054a9ee848b51dc9a,line,single_choice,direct,What was the closing price of Wilmar International around mid-2022?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,A,,0,0,0
1511,e0caa727e887dc896c865a9495d902e9a6c52407ec101fc5a95d3a8816f736ad,line,numerical,growth_rate,What is the approximate percentage change in commercial paper outstanding from June 2022 to January 2024?,success,,"[""June2022"", ""January2024""]","[""Jun-22"", ""Jan-24""]","[{""both_sides"": 0, ""chart_type"": ""line"", ""fit_mode"": ""global_robust"", ""fitted_segments"": [{""inlier_count"": 20, ""median_residual"": 0.13659980636867886, ""side"": ""all"", ""slope"": 0.4251059051330971, ""target_y"": 454.07289434972233, ""x_max"": 183.0, ""x_min"": 164.0}], ""local_columns"": 20, ""local_fit_residual_pixels"": 0.13659980636867886, ""method"": ""auto_x_local_line_fit"", ""point"": [162.5, 454.07289434972233], ""score"": 0.8798171479501643, ""search_window"": [144.0, 183.0], ""target_x"": 162.5, ""target_y"": 454.07289434972233, ""window_half_width"": 19.919999999999998}, {""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 43, ""median_residual"": 1.0204936186177633, ""side"": ""all"", ""slope"": -0.1700105679197235, ""target_y"": 461.8304196431797, ""x_max"": 969.0, ""x_min"": 927.0}, {""inlier_count"": 22, ""median_residual"": 0.1574748319652599, ""side"": ""left"", ""slope"": -0.37605326615610885, ""target_y"": 459.575672909537, ""x_max"": 948.0, ""x_min"": 927.0}, {""inlier_count"": 22, ""median_residual"": 0.11004760190880347, ""side"": ""right"", ""slope"": 0.020008654892509598, ""target_y"": 459.87980701643875, ""x_max"": 969.0, ""x_min"": 948.0}], ""local_columns"": 43, ""local_fit_residual_pixels"": 0.11004760190880347, ""method"": ""auto_x_local_line_fit"", ""point"": [948.0, 459.72773996298787], ""score"": 0.9008622677806167, ""search_window"": [927.0, 969.0], ""target_x"": 948.0, ""target_y"": 459.72773996298787, ""window_half_width"": 20.64}]","[{""bbox"": [40.0, 107.0, 131.0, 148.0], ""confidence"": 0.9997299703404143, ""pixel_y"": 127.5, ""text"": ""5,000"", ""value"": 5000.0}, {""bbox"": [40.0, 163.0, 131.0, 204.0], ""confidence"": 0.999966573300654, ""pixel_y"": 183.5, ""text"": ""4,500"", ""value"": 4500.0}, {""bbox"": [39.0, 218.0, 131.0, 261.0], ""confidence"": 0.9998687448022977, ""pixel_y"": 239.5, ""text"": ""4,000"", ""value"": 4000.0}, {""bbox"": [38.0, 275.0, 130.0, 316.0], ""confidence"": 0.9994550910239156, ""pixel_y"": 295.5, ""text"": ""3,500"", ""value"": 3500.0}, {""bbox"": [38.0, 331.0, 130.0, 372.0], ""confidence"": 0.9960527659364129, ""pixel_y"": 351.5, ""text"": ""3,000"", ""value"": 3000.0}, {""bbox"": [40.0, 387.0, 131.0, 427.0], ""confidence"": 0.9999407168319049, ""pixel_y"": 407.0, ""text"": ""2,500"", ""value"": 2500.0}, {""bbox"": [38.0, 443.0, 131.0, 483.0], ""confidence"": 0.9997770462194505, ""pixel_y"": 463.0, ""text"": ""2,000"", ""value"": 2000.0}, {""bbox"": [41.0, 497.0, 131.0, 539.0], ""confidence"": 0.9997898414301394, ""pixel_y"": 518.0, ""text"": ""1,500"", ""value"": 1500.0}, {""bbox"": [41.0, 553.0, 131.0, 595.0], ""confidence"": 0.9997707552337741, ""pixel_y"": 574.0, ""text"": ""1,000"", ""value"": 1000.0}, {""bbox"": [67.0, 609.0, 132.0, 647.0], ""confidence"": 0.9982331829674873, ""pixel_y"": 628.0, ""text"": ""500"", ""value"": 500.0}]","[2073.7142471691623, 2022.9422799508911]",-2.4483588945574444,"{""executor"": ""python"", ""formula"": ""growth_rate"", ""numeric_answer"": -2.4483588945574444}",-2.4483588945574444,2.63,2.0,0,0,0
1520,117c009293650b02cd2ad91fc410c4e4256d562050f5d79a369a1fdea92b09e2,line,single_choice,direct,What was the price of the cement in March 2019?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,A,,0,1,1
1522,e633813ad2cdc952c5fdaeb0da12ebcc663092c0716234b2ce5c8319cc461e1a,line,numerical,growth_rate,Calculate the approximate percentage increase in the closing price from July 2021 to January 2024.,x_grounding_unrecoverable | x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,2,2.0,0,0,0
1541,3f5a8123d06663e6bb0c5d1d926ec43a154308a6312bbbaacab7c6a0e5e28cd5,line,single_choice,direct,What is the closing price of iQIYI Inc. around January 2024?,x_grounding_unrecoverable,x_grounding_or_line_fit,[],[],[],[],[],,{},,B,,0,0,0
1564,2ca16bdd6cd45d26c03973f686d032e53d94018db4d51a71ded5e4009ffb848a,bar,single_choice,direct,What is the approximate value of Germany sales (EUR Mn) in 3QFY24?,bar_count_out_of_scope,bar_chart_analysis,[],[],[],[],[],,{},,C,,0,0,0
1675,7b9a609ec1bfa1188fa5628eea3dd5637d11ebc14eaf86f2e3b72179a2ec4d38,line,numerical,difference,What is the difference between the US Effective Tax Rate in 1990 and 2025?,line_localization_failed | success,x_grounding_or_line_fit,[],[],[],[],[],,{},,105,10.0,0,0,0
1696,b03adc71468280827ef53f5a70e19eab9b1c8f0892e7319b6d9cb03b3ed9b85b,bar,single_choice,direct,What is the number of overseas distributors for Pop Mart in 2017?,x_axis_labels_unreadable_or_grouped_bars,bar_chart_analysis,[],[],[],[],[],,{},,A,,0,1,1
1703,7ac76ad793feab39a4053cc049cd334257a69b2cd9e75b498e02773399c2ac4c,line,numerical,direct,What was the approximate Net Interest Margin (bps) in 3Q18?,success,,"[""3Q18""]",[null],"[{""both_sides"": 1, ""chart_type"": ""line"", ""fit_mode"": ""two_sided_piecewise_robust"", ""fitted_segments"": [{""inlier_count"": 48, ""median_residual"": 1.2991915897902118, ""side"": ""all"", ""slope"": -0.29124656487987316, ""target_y"": 127.67293128442984, ""x_max"": 484.0, ""x_min"": 437.0}, {""inlier_count"": 24, ""median_residual"": 0.1222259096038556, ""side"": ""left"", ""slope"": -0.08148393973590572, ""target_y"": 130.1679873497176, ""x_max"": 460.0, ""x_min"": 437.0}, {""inlier_count"": 23, ""median_residual"": 0.14801730851007022, ""side"": ""right"", ""slope"": -0.5171390852333987, ""target_y"": 130.384777597841, ""x_max"": 484.0, ""x_min"": 461.0}], ""local_columns"": 48, ""local_fit_residual_pixels"": 0.1222259096038556, ""method"": ""auto_x_local_line_fit"", ""point"": [460.5, 130.2763824737793], ""score"": 0.8910861809927368, ""search_window"": [437.0, 484.0], ""target_x"": 460.5, ""target_y"": 130.2763824737793, ""window_half_width"": 22.8}]","[{""bbox"": [30.0, 30.0, 97.0, 68.0], ""confidence"": 0.9799857139587402, ""pixel_y"": 49.0, ""text"": ""300"", ""value"": 300.0}, {""bbox"": [30.0, 96.0, 97.0, 135.0], ""confidence"": 0.9999945627862629, ""pixel_y"": 115.5, ""text"": ""250"", ""value"": 250.0}, {""bbox"": [30.0, 160.0, 95.0, 198.0], ""confidence"": 0.9998950418269726, ""pixel_y"": 179.0, ""text"": ""200"", ""value"": 200.0}, {""bbox"": [32.0, 224.0, 95.0, 262.0], ""confidence"": 0.9999871984651112, ""pixel_y"": 243.0, ""text"": ""150"", ""value"": 150.0}, {""bbox"": [32.0, 288.0, 95.0, 327.0], ""confidence"": 0.9998847181519784, ""pixel_y"": 307.5, ""text"": ""100"", ""value"": 100.0}, {""bbox"": [48.0, 353.0, 95.0, 391.0], ""confidence"": 0.9998202062786206, ""pixel_y"": 372.0, ""text"": ""50"", ""value"": 50.0}, {""bbox"": [68.0, 418.0, 96.0, 453.0], ""confidence"": 0.9999983310706426, ""pixel_y"": 435.5, ""text"": ""0"", ""value"": 0.0}]",[237.67863329015603],237.67863329015603,"{""executor"": ""python"", ""formula"": ""direct"", ""numeric_answer"": 237.67863329015603}",237.67863329015603,30,5.0,0,0,0
